Model,MAE,MSE,RMSE,R2_Score
Linear Regression From Scratch,2188736.3437038073,8454330868276.728,2907633.2073142803,0.9406371185112232
Scikit-Learn Linear Regression,2188736.34370382,8454330868276.576,2907633.2073142543,0.9406371185112243
Polynomial Regression,0.0003475222736597061,1.7846630435922977e-07,0.00042245272440739423,1.0
Decision Tree,2348854.236041735,8843197182745.06,2973751.36532042,0.9379066570116171
Random Forest,1643060.779775474,4843684174383.452,2200837.153081402,0.9659896147793424
